Year,Country,Artificial surfaces (including urban and associated areas): Climate altering,Climate Altering Land Cover Index: Climate altering,Grassland: Climate regulating,Herbaceous crops: Climate altering,Inland water bodies: Climate regulating,Mangroves: Climate regulating,Permanent snow and glaciers: Climate regulating,Shrub-covered areas: Climate regulating,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded: Climate regulating",Sparsely natural vegetated areas: Climate neutral,Terrestrial barren land: Climate neutral,Tree-covered areas: Climate regulating,Woody crops: Climate regulating
1993,"China, P.R.: Mainland",2652.02,101.214934,290028.7193,202482.0723,12329.5,123.0924,6286.2292,25583.8664,3088.1369,21592.148,172419.2307,185327.9739,14522.6218
1994,"China, P.R.: Mainland",2733.1845,100.7335683,290003.792,201425.3523,12328.2,123.0924,6286.2292,25580.3945,3087.6409,21591.148,172417.2307,185339.5838,15519.9319
1995,"China, P.R.: Mainland",2815.5638,100.4462714,289312.8337,200760.5886,12310.4,124.5262,6286.2292,25447.2301,3091.0898,21646.748,172636.3642,184509.7398,17493.9399
1996,"China, P.R.: Mainland",2898.6872,100.4039003,288981.9907,200591.6651,12336.3,126.084,6286.2292,25227.4064,3094.5155,21662.648,172600.9736,184643.9356,17985.1584
1997,"China, P.R.: Mainland",2980.0552,100.4258532,288777.9086,200554.802,12356.6,127.0374,6286.2292,25086.9648,3096.0191,21666.448,172583.9486,184387.0723,18532.5665
1998,"China, P.R.: Mainland",3063.5273,100.6693865,288767.3871,200964.7137,12382.7,128.4247,6286.2292,25013.6265,3100.7236,21686.448,172392.3512,184078.245,18570.406
1999,"China, P.R.: Mainland",3143.5292,101.4859404,289043.7382,202539.8454,12363.7,134.3228,6286.2292,24793.0116,3118.5728,21872.9635,171243.4287,183180.4826,18715.9188
2000,"China, P.R.: Mainland",3230.553,101.8429508,288912.4287,203176.4762,12381.4,137.2757,6286.2292,24491.3919,3126.1915,22103.6635,170734.4446,183081.412,18774.708
2001,"China, P.R.: Mainland",3589.431,102.0856423,288835.4822,203309.3942,12360.7,140.0038,6286.2292,24271.763,3160.9522,22131.5635,170674.4669,182982.1298,18693.7353
2002,"China, P.R.: Mainland",3963.2596,102.1385108,289245.8733,203042.7665,12383.9,142.5382,6286.2292,24142.0055,3165.1064,22099.4635,170076.9709,182941.6825,18946.2879
2003,"China, P.R.: Mainland",4362.4554,101.9921978,289357.9547,202347.08,12395.8,144.6231,6286.2292,23892.5115,3181.4676,22120.9635,169756.5293,183066.4964,19524.1745
2004,"China, P.R.: Mainland",4810.7404,101.8597294,289313.6213,201630.1148,12392.1,152.9626,6286.2292,23445.8597,3210.2682,22381.0635,168963.0811,183755.8602,20093.4596
2005,"China, P.R.: Mainland",5190.4516,101.76399,289347.4554,201056.4052,12406.9,154.0864,6286.2292,23363.0833,3214.0272,22336.9403,168710.0966,183790.855,20579.0043
2006,"China, P.R.: Mainland",5582.6778,101.7302675,289405.6678,200595.8312,12429.5,157.3028,6286.2292,23323.6657,3223.2734,22376.7635,168365.477,183801.1738,20887.9633
2007,"China, P.R.: Mainland",5982.7513,101.3655816,289690.9239,199456.6814,12397.1,162.2631,6286.2292,23191.5579,3245.4707,22395.7093,167910.1282,183865.97,21850.9181
2008,"China, P.R.: Mainland",6398.6531,101.3240461,289746.6694,198956.6157,12397.9,167.4404,6286.2292,23251.1952,3251.733,22470.2093,167410.3226,183771.9432,22326.8688
2009,"China, P.R.: Mainland",6772.0631,101.2075028,289697.1881,198346.9356,12405.6,169.812,6286.2292,23319.362,3258.1814,22525.9093,167196.0054,183581.6574,22876.5189
2010,"China, P.R.: Mainland",7154.3436,100.9598758,289785.0961,197462.8433,12430.8,171.4163,6286.2292,23354.1401,3272.9305,22595.7093,166810.7806,183403.1377,23708.3012
2011,"China, P.R.: Mainland",7514.55,100.4591204,290185.726,196087.8651,12412.1,172.7727,6286.2292,23366.8364,3286.6797,22568.8093,166369.6737,183355.22,24829.8093
2012,"China, P.R.: Mainland",7900.5,100.0477753,290466.5612,194868.1495,12413.3,174.2142,6286.2292,23420.3354,3291.547,22533.3093,166082.5663,183203.6086,25795.5599
2013,"China, P.R.: Mainland",8433.3,99.95478419,290419.5903,194146.7449,12440.6,175.5628,6286.2292,23415.1315,3290.803,22488.4093,165979.1867,183291.7159,26067.9698
2014,"China, P.R.: Mainland",8898.9,100.0069815,290710.4409,193787.0835,12537.5,180.8099,6286.2292,23404.7891,3283.1765,22483.0093,165358.5533,183462.5764,26042.8662
2015,"China, P.R.: Mainland",9166.725,100,290709.6071,193505.041,12536,180.7246,6286.2292,23402.5321,3282.4945,22481.7093,165356.5533,183510.235,26017.7687
2016,"China, P.R.: Mainland",9213.525,99.57374426,290237.8342,192594.3254,12566.7,196.1557,6286.2292,23308.4732,3277.8597,22601.1093,165316.4559,184924.6206,25912.2594
2017,"China, P.R.: Mainland",9820.425,99.57254324,289920.5024,191984.9661,12588.6,199.6899,6286.2292,23287.4031,3265.9783,22685.3093,165252.1013,185305.2826,25838.9436
2018,"China, P.R.: Mainland",10260.9,99.6030979,289097.6264,191606.3486,12598.5,203.3791,6286.2292,23315.0349,3251.0355,23322.3093,165155.0818,185550.6837,25787.9861
2019,"China, P.R.: Mainland",10614.525,99.40581504,288376.6881,190852.9697,12616.3,206.2158,6286.2292,23323.5602,3245.3079,23963.7093,165288.1029,185975.3001,25686.5901
2020,"China, P.R.: Mainland",10871.1,99.43837414,287984.3728,190662.5218,12621.1,206.2545,6285.5626,23398.8909,3242.138,24306.7093,165073.7113,186122.825,25660.958
1992,Colombia,127.173,127.8415572,16617.5473,6189.2375,1099.4145,345.8863,6.7351,6920.239,2373.4307,578.1436,23.011,76556.9361,3689.35
1993,Colombia,129.6783,123.8873083,16618.7033,5991.3584,1141.011,345.8708,6.7351,6931.066,2381.7236,578.0971,23.2125,76491.2778,3888.3363
1994,Colombia,131.8988,121.0835526,16617.346,5850.6094,1141.0033,345.8398,6.7351,6930.8226,2381.6461,578.0041,23.2048,76491.4638,4028.4916
1995,Colombia,134.0437,111.106123,16715.0707,5355.4969,1167.471,356.0162,6.7274,6973.3489,2373.6012,575.9037,23.5303,76311.8401,4533.9784
1996,Colombia,136.2236,121.4669962,16716.1991,5865.2322,1199.7361,357.45,6.7274,6974.1894,2373.7252,575.6867,23.7783,76289.1693,4008.9935
1997,Colombia,138.3278,122.3680536,16742.7201,5907.645,1213.2296,359.1938,6.7196,7008.8904,2375.1203,575.7719,23.8946,76178.1748,3997.3746
1998,Colombia,140.6587,120.5436044,16784.7534,5815.1746,1223.5144,360.4029,6.7119,7083.6813,2377.2129,571.6642,23.9256,75976.9328,4162.4887
1999,Colombia,143.3791,121.0545217,16862.1395,5837.6952,1265.4442,361.1082,6.7119,7148.0894,2390.4429,569.3468,24.2821,75710.5064,4207.9285
2000,Colombia,146.8901,129.1955747,16847.4783,6236.4192,1277.1086,361.7127,6.7041,7173.8673,2389.3268,564.0533,24.3054,75677.2621,3821.9645
2001,Colombia,148.1631,123.0254164,16854.124,5930.2888,1277.1629,362.4103,6.7041,7198.4652,2389.8616,559.5813,24.3209,75631.6012,4144.3801
2002,Colombia,149.3082,123.8904434,16863.5718,5971.8797,1276.7289,363.4101,6.7041,7228.0661,2392.3572,559.4573,24.3596,75572.1546,4119.0034
2003,Colombia,150.1685,126.749005,16889.7553,6112.2598,1280.1081,363.5806,6.7041,7259.7851,2394.5739,557.6359,24.3674,75478.9968,4009.1457
2004,Colombia,152.296,128.1790211,16968.1278,6180.7854,1399.8135,364.4796,6.7041,7403.1472,2434.5894,550.5288,24.7549,74982.066,4059.7652
2005,Colombia,153.7027,119.1227511,16976.5878,5731.9294,1405.4713,364.8516,6.7041,7410.8775,2431.9852,545.553,24.8324,74984.7189,4489.9171
2006,Colombia,157.1672,119.9540751,16979.3626,5769.5392,1414.1518,367.0915,6.7041,7416.0862,2426.7382,540.585,24.8401,74987.9025,4436.9653
2007,Colombia,160.6549,118.1857839,16969.2984,5678.6814,1412.5552,370.2769,6.7041,7392.3815,2427.9782,540.6005,24.9176,75075.1315,4467.9115
2008,Colombia,163.631,111.4293685,16959.3017,5341.8846,1411.0594,372.6098,6.7041,7402.2796,2431.4892,541.949,24.9719,75110.2414,4760.9912
2009,Colombia,166.5781,111.258036,16958.7201,5330.472,1411.2454,373.2299,6.7041,7392.6772,2432.6207,538.1591,25.0416,75149.791,4741.8678
2010,Colombia,169.5252,110.4857807,16957.2089,5289.3697,1410.6951,373.8266,6.7041,7393.0728,2434.3956,532.757,25.1037,75164.125,4770.3334
2011,Colombia,172.7455,98.16991682,16953.9289,4677.6456,1410.9276,374.0747,6.7041,7396.6105,2435.7674,532.7648,25.0649,75164.2427,5376.6381
2012,Colombia,176.2739,96.51083753,16952.5797,4592.1473,1404.8745,376.6556,6.7041,7394.4338,2437.9375,533.005,25.0494,75171.0554,5456.4488
2013,Colombia,182.3193,102.6834499,16946.4679,4891.0764,1393.5357,376.1518,6.7041,7384.0071,2446.0212,532.943,25.0184,75207.5172,5135.3394
2014,Colombia,188.3878,101.0498417,16910.4506,4804.2924,1373.09,375.1132,6.7041,7339.2123,2461.4446,540.337,25.4447,75339.9421,5162.6369
2015,Colombia,192.079,100,16909.382,4748.7343,1373.0125,375.09,6.7041,7338.578,2461.3361,540.2905,25.4137,75340.1831,5216.34
2016,Colombia,192.3289,99.10668838,16902.6136,4704.3466,1373.5783,375.1597,6.7041,7374.2931,2462.1886,540.6392,25.5222,75292.6927,5277.0543
2017,Colombia,197.4035,127.1389474,16900.5601,6084.2929,1373.9193,375.0512,6.7041,7382.4164,2463.886,540.399,25.6384,75261.8293,3915.0135
2018,Colombia,201.0424,127.2869341,16893.8474,6087.9633,1373.7178,374.966,6.7041,7373.4724,2467.4822,541.1198,25.7779,75266.9241,3914.0518
2019,Colombia,206.6808,127.1380545,16890.1344,6074.97,1373.617,374.9892,6.7041,7378.4404,2473.7678,540.9337,26.3205,75211.6027,3968.9261
2020,Colombia,206.7447,127.4584758,16888.1222,6090.8436,1375.7252,374.0747,6.7739,7392.7314,2477.8833,541.3833,26.398,75169.039,3979.2967
1992,France,648.9845,98.32549694,11031.9631,24436.2655,439.8138,0,25.0261,1370.1933,165.123,247.7193,207.9286,14636.4282,1649.3579
1993,France,664.8477,98.43263868,11032.2875,24447.7302,439.6976,0,25.0261,1370.0239,164.9835,247.2001,207.8821,14638.0101,1621.1001
1994,France,680.8387,98.49063623,11032.6211,24446.539,439.5891,0,25.0261,1369.8255,164.8672,246.7118,207.8434,14639.9046,1605.0294
1995,France,697.8878,98.73122985,11058.4708,24490.8503,439.4341,0,25.0261,1359.686,164.6192,245.3477,208.2541,14586.098,1583.0762
1996,France,714.9891,98.75865818,11051.9833,24480.7363,441.0307,0,25.0261,1347.0001,164.4177,253.6407,214.6405,14601.4815,1563.7818
1997,France,732.1021,98.81382235,11049.8196,24477.7057,440.7594,0,25.0261,1337.4396,164.3014,254.1445,215.1365,14620.5061,1541.8057
1998,France,752.2609,99.00162199,11116.9264,24505.4778,440.8136,0,25.0261,1348.9315,164.2704,256.4231,215.7411,14502.4945,1530.4218
1999,France,773.0592,99.22027149,11222.4636,24540.4473,440.3254,0,25.0261,1356.5828,164.3324,260.0193,218.0197,14328.9379,1529.5409
2000,France,794.7062,99.32448579,11266.2087,24545.4001,440.3564,0,25.0261,1371.3919,164.1619,260.7323,218.415,14246.9205,1525.4619
2001,France,872.2841,99.43166735,11286.7677,24495.179,439.6278,0,25.0261,1378.6777,164.0922,259.531,218.6165,14203.9703,1515.0349
2002,France,958.0407,99.50078346,11307.3169,24427.0279,439.4031,0,25.0261,1385.4988,163.6426,258.0584,218.3917,14176.1362,1500.205
2003,France,1063.1773,99.57118557,11330.2533,24339.865,439.2713,0,25.0261,1392.1731,163.0536,257.3996,218.1359,14150.5179,1479.9011
2004,France,1187.502,99.58751439,11351.4992,24219.6915,438.9768,0,25.0261,1405.7519,162.6196,256.8184,218.1204,14128.0571,1464.6795
2005,France,1206.8936,99.60802028,11350.2526,24205.5686,438.628,0,25.0261,1406.1057,162.7048,256.3146,217.7717,14126.7597,1462.7973
2006,France,1221.2687,99.63179421,11356.7618,24197.2407,438.07,0,25.0261,1406.6044,162.5421,256.0201,217.6864,14130.6636,1446.8997
2007,France,1235.6438,99.67418788,11344.3148,24193.6897,437.3957,0,25.0261,1406.8052,162.7824,255.6403,217.8569,14161.1972,1418.4497
2008,France,1251.9721,99.63601195,11325.8611,24167.6266,436.7989,0,25.0261,1403.6573,162.8289,255.5395,217.6864,14221.0526,1390.7627
2009,France,1261.1854,99.72529976,11327.2005,24181.1649,436.5199,0,25.0261,1416.6478,162.8366,255.8186,217.4462,14214.333,1360.573
2010,France,1270.0964,99.88810223,11367.1015,24213.8126,435.9929,0,25.0261,1467.2144,163.3946,255.8341,217.2291,14105.3065,1337.7951
2011,France,1278.2693,99.92528277,11378.7651,24215.1217,435.6751,0,25.0261,1483.0272,163.4101,255.6868,217.1904,14071.9986,1334.625
2012,France,1290.2146,99.95368075,11382.4646,24210.4164,435.4891,0,25.0261,1486.0518,163.1156,255.617,217.1516,14063.9076,1329.3302
2013,France,1302.189,99.96713879,11382.7103,24201.8606,435.4038,0,25.0261,1485.0741,162.7126,255.5395,217.1129,14073.6568,1317.4669
2014,France,1317.9127,99.91564569,11393.872,24173.0281,435.4658,0,25.0261,1497.6945,162.0461,256.1131,217.2834,14068.1552,1312.2166
2015,France,1327.1203,100,11393.4494,24185.3322,435.3108,0,25.0261,1497.3457,161.9763,256.1131,217.2136,14069.0151,1290.8913
2016,France,1331.8577,99.84376313,11385.8052,24140.7459,435.3108,0,25.0261,1504.4095,161.333,256.1518,217.4927,14095.8998,1304.785
2017,France,1337.9902,99.78168784,11377.8881,24118.7657,435.3418,0,25.0261,1507.2426,160.9765,254.6715,217.0431,14118.3989,1305.4498
2018,France,1341.7802,99.58256323,11382.5631,24064.177,435.5046,0,25.0261,1519.1438,159.1164,254.1135,215.9271,14126.1726,1335.2761
2019,France,1345.1109,99.37184965,11406.7497,24007.0831,435.5666,0,25.0261,1539.0504,157.6826,255.1675,215.8573,14128.7349,1342.7606
2020,France,1345.1865,99.38451958,11414.8656,24010.3152,435.7371,0,25.1114,1549.6933,158.1398,255.0513,215.7411,14106.1699,1342.9414
1992,Haiti,13.3695,90.37505835,1471.7732,283.9011,42.6739,12.4627,0,52.5565,294.1677,5.8516,0.0155,432.3761,109.1927
1993,Haiti,13.6078,90.42872053,1471.7817,283.8393,42.6739,12.4627,0,52.5534,293.9894,5.8283,0.0155,432.4195,109.1689
1994,Haiti,13.788,91.07621076,1471.7895,285.7889,42.6584,12.4627,0,52.5472,293.8732,5.8128,0.0155,432.4335,107.1708
1995,Haiti,13.9682,90.85810959,1475.8937,284.8913,42.5266,12.4937,0,51.5966,294.6095,6.2856,0.0155,429.2256,106.8342
1996,Haiti,14.0612,90.76128045,1477.4907,284.4798,42.5344,12.4859,0,51.0428,294.563,6.2856,0.0078,428.7094,106.6799
1997,Haiti,14.3054,93.34781244,1477.4128,292.7435,42.4956,12.61,0,50.4762,295.245,6.3709,0.0078,429.0923,97.5812
1998,Haiti,14.5495,93.44100025,1477.4077,292.8059,42.4879,12.6255,0,50.1449,297.1051,6.3709,0.0078,427.2333,97.602
1999,Haiti,14.7995,92.29853463,1471.4294,288.798,42.8289,12.9432,0,46.6251,297.2059,6.3709,0.0078,441.0659,96.266
2000,Haiti,15.0901,92.1415103,1471.0598,287.9909,42.7979,13.0517,0,45.888,297.5701,6.5491,0.0078,442.3382,95.997
2001,Haiti,16.2759,93.43568341,1471.3802,291.062,42.8134,13.0982,0,44.7987,296.8881,6.5414,0.0078,444.9221,90.5526
2002,Haiti,17.0548,93.32769344,1472.3359,289.9279,42.8134,13.0982,0,43.9217,296.2293,6.5259,0.0078,446.2258,90.1998
2003,Haiti,17.6129,93.37687982,1472.4296,289.5316,42.8056,13.106,0,43.5377,296.6401,6.4949,0.0078,446.0979,90.0765
2004,Haiti,18.1593,93.46687203,1472.2646,289.2812,42.8831,13.1215,0,42.9758,296.6478,6.4794,0.0078,446.5214,89.9986
2005,Haiti,19.0951,93.85920139,1473.364,289.6359,42.8134,13.1137,0,42.9824,296.1208,6.4251,0.0078,444.6734,90.109
2006,Haiti,20.3333,94.1297184,1474.2258,289.2875,43.0227,13.0905,0,42.9455,295.7255,6.3476,0.0078,443.3538,90.0005
2007,Haiti,21.3505,97.20201782,1474.201,298.376,42.8986,13.1215,0,42.8025,295.276,6.2391,0.0078,444.5005,79.5669
2008,Haiti,22.2922,96.38913236,1475.8654,294.7605,43.0692,13.1525,0,42.7882,295.059,6.2236,0.0078,442.5893,82.5329
2009,Haiti,23.0188,96.84482925,1477.3539,295.5328,43.2784,13.1292,0,42.5696,294.5862,6.1848,0.0078,442.0526,80.6263
2010,Haiti,23.9372,98.4404616,1479.0225,299.8629,43.2319,13.1292,0,42.7553,294.9892,6.1306,0.0078,438.945,76.3287
2011,Haiti,24.8382,97.8814331,1479.8208,297.1231,43.3249,13.1137,0,42.665,295.0977,7.1769,0.0078,436.6869,78.4854
2012,Haiti,26.0821,97.13199932,1481.3539,293.4141,43.1699,13.0982,0,43.1835,295.0202,7.1847,0.0233,433.6546,82.156
2013,Haiti,27.9364,98.84695433,1482.4261,297.2008,43.1699,13.0905,0,43.3823,294.563,7.2544,0.0233,431.5216,77.7722
2014,Haiti,29.9826,99.82292998,1486.0158,298.3649,43.1002,13.0982,0,43.9825,294.7645,7.3397,0.0233,423.5922,78.0768
2015,Haiti,31.0986,100,1485.8681,297.8313,43.0769,13.0982,0,43.8996,294.5862,7.3087,0.0233,423.6123,77.9372
2016,Haiti,31.0986,100.0987067,1486.7207,298.156,43.0227,13.168,0,45.1649,294.1134,7.3087,0.0233,421.5422,78.0221
2017,Haiti,31.6566,100.366123,1487.2035,298.4776,43.0227,13.168,0,45.5973,293.6639,7.2079,0.0233,420.2134,78.1063
2018,Haiti,32.2089,100.5246978,1487.1024,298.4469,42.9684,13.2067,0,45.7531,293.7259,7.4017,0.0233,419.405,78.0982
2019,Haiti,32.6506,100.5500868,1486.6075,298.0887,42.9684,13.2145,0,46.2449,293.1291,7.3784,0.0233,420.0305,78.0045
2020,Haiti,32.5983,100.6056482,1486.8133,298.3483,43.1157,13.292,0,46.3189,293.2221,7.3784,0.0233,419.3593,78.0724
1992,India,608.8353,103.003329,25136.3451,183466.3064,4818.1576,323.6581,783.158,22728.0546,705.6382,513.5825,1213.2528,48969.8489,8231.4361
1993,India,623.3732,102.7593516,25135.46,183015.3194,4817.8786,323.5496,783.158,22727.2916,705.6382,513.4972,1213.1676,48971.7007,8667.5234
1994,India,636.9752,102.6982841,25134.3295,182892.7701,4817.5608,323.5031,783.158,22726.5885,705.6227,513.4275,1213.0203,48973.3987,8777.5026
1995,India,649.6471,102.7528004,25055.7232,182977.6539,4818.4366,319.4729,783.158,22650.6149,706.4985,513.7375,1211.385,48770.8411,9040.9004
1996,India,662.9643,102.4976048,25050.4612,182507.9941,4826.8691,321.0927,783.158,22456.3585,707.7463,513.753,1212.4545,48820.7304,9634.0193
1997,India,675.4851,102.6144063,25070.8915,182704.1915,4832.0231,321.1857,783.158,22295.9339,708.1958,513.6755,1212.9196,48769.9174,9610.0001
1998,India,688.221,102.6099981,25088.73,182683.3399,4840.0836,321.6895,783.158,22238.671,710.366,513.9235,1213.9194,48658.9393,9756.1498
1999,India,700.707,102.4072763,25174.792,182308.7717,4840.8974,322.8908,783.158,21959.1374,710.5132,515.2798,1215.3299,48603.3978,10362.6356
2000,India,714.745,102.3783319,25187.0705,182243.3644,4850.1669,324.3634,783.158,21744.7427,710.676,516.7369,1220.0422,48784.5878,10418.4363
2001,India,832.4605,102.2420392,25174.8028,181882.1032,4853.5228,330.8117,783.158,21753.6033,709.7614,515.5046,1220.0965,48664.9397,10777.3584
2002,India,935.1731,102.2063425,25154.8358,181715.1478,4850.3452,333.4236,783.158,21723.5294,709.1956,514.7373,1221.476,48682.8179,10873.5503
2003,India,1033.2064,101.9507875,25134.083,181160.5564,4848.5006,334.4234,783.158,21646.5036,709.4824,514.8535,1226.6533,48769.4176,11336.7766
2004,India,1133.7741,101.8230398,25120.0746,180831.9388,4857.5376,336.7253,783.158,21514.2772,709.3739,514.125,1228.6219,48906.0182,11562.3906
2005,India,1210.5382,101.8293273,25107.6367,180766.4278,4869.3027,337.7949,783.158,21462.783,709.6142,514.125,1230.7921,48907.8133,11598.0567
2006,India,1283.1927,101.4591183,25108.4273,180032.0038,4885.5244,340.1278,783.158,21437.8261,709.5134,514.156,1231.1718,48918.0109,12254.6397
2007,India,1359.3931,101.2034585,25120.0655,179498.929,4877.7584,341.1043,783.158,21392.9202,710.1102,514.0242,1234.3495,48966.4697,12699.4851
2008,India,1422.3692,101.0698853,25136.2307,179197.1987,4883.331,342.8327,783.158,21375.0515,711.0015,515.3031,1236.9459,48964.4373,12929.8273
2009,India,1483.0086,100.8372527,25149.174,178720.9969,4882.1219,344.1192,783.158,21359.2708,711.7688,516.0471,1239.178,48955.1829,13353.9409
2010,India,1542.5145,100.5464614,25169.6115,178141.5764,4882.6102,344.313,783.158,21349.0752,711.668,515.7603,1242.782,48944.0676,13870.42
2011,India,1606.3742,100.4286523,25154.2099,177867.0937,4945.4972,344.0262,783.158,21334.5386,710.4822,517.1632,1244.7893,48951.4258,14038.6503
2012,India,1702.6346,100.1573763,25164.608,177286.3024,4971.5542,343.3984,783.158,21330.2092,710.7302,518.9225,1247.7578,48942.7316,14495.833
2013,India,1832.0687,100.0250287,25178.8938,176920.4114,4983.7999,343.2744,783.158,21326.0409,710.8465,519.1938,1249.5326,48949.0045,14701.7128
2014,India,1949.1739,100.0042644,25154.3422,176766.17,5081.0988,342.9954,783.158,21330.2354,708.7229,518.7598,1248.2305,48928.0782,14686.9241
2015,India,2020.1136,100,25156.3547,176687.7254,5080.2075,342.9489,783.158,21327.8732,708.5989,518.2405,1248.2073,48939.555,14685.0993
2016,India,2029.8792,99.75927396,25175.137,176247.8133,5084.9585,347.8937,783.158,21262.5367,708.3121,519.6666,1248.4708,49432.8066,14657.5329
2017,India,2095.3374,99.65526534,25155.0073,175995.9118,5091.3061,349.1338,783.158,21234.9386,707.6766,520.4416,1247.6415,49680.074,14636.5837
2018,India,2131.8652,99.60119967,25167.8802,175863.2778,5093.515,351.2264,783.158,21268.1587,707.6921,525.8901,1249.5946,49730.2566,14625.5533
2019,India,2201.7818,99.24728445,25180.6988,175160.6088,5106.5357,351.4124,783.158,21362.809,707.5836,528.9671,1250.1991,49992.8105,14871.0366
2020,India,2241.1056,99.14298167,25185.7466,174933.7714,5109.5274,351.2729,783.2743,21412.6936,707.2813,530.3699,1250.5092,50138.396,14851.7782
1992,Indonesia,712.5419,110.1582738,9096.5456,24227.7427,4045.5014,3953,0,6761.0485,0,1595.7212,0,124229.256,15327.7283
1993,Indonesia,736.1594,108.0047733,9098.0692,23716.509,4045.0674,3952.6512,0,6760.6288,0,1594.7137,0,124232.5465,15812.3142
1994,Indonesia,758.7306,102.3934274,9099.463,22423.4693,4044.6489,3952.3645,0,6760.1041,0,1593.8224,0,124235.6107,17080.1212
1995,Indonesia,783.1387,100.8559886,9183.8041,22051.0309,3999.4716,3992.3102,0,6835.1796,0,1610.0828,0,123900.7242,17593.0148
1996,Indonesia,805.7389,102.2373139,9191.3554,22341.1535,4000.2466,4003.2538,0,6842.2728,0,1611.9971,0,123905.8134,17246.8076
1997,Indonesia,826.0373,103.8731908,9231.1172,22691.2251,4005.4782,4017.5688,0,6870.478,0,1621.7007,0,123697.292,16987.755
1998,Indonesia,847.0739,104.6332511,9330.145,22842.3377,4011.2987,4023.1492,0,6953.6391,0,1631.6057,0,123208.7394,17101.2154
1999,Indonesia,865.2099,104.1376926,9378.5809,22711.9396,4014.2517,4031.3879,0,7000.1205,0,1641.937,0,123011.8935,17293.355
2000,Indonesia,886.45,104.2261037,9380.9542,22710.6946,4020.9015,4032.938,0,7006.0346,0,1644.0219,0,123095.0074,17171.5008
2001,Indonesia,923.0359,100.7624485,9360.9458,21889.9812,4036.1156,4025.8231,0,6986.1142,0,1648.2071,0,123306.681,17772.064
2002,Indonesia,937.3994,99.13744415,9384.2921,21507.6538,4034.1935,4026.6989,0,6998.1963,0,1654.1672,0,123198.1243,18207.7643
2003,Indonesia,944.7991,102.6117133,9422.0789,22286.9283,4028.4815,4030.1478,0,7026.1341,0,1664.7543,0,123039.4158,17506.4687
2004,Indonesia,950.4259,106.6394064,9450.1002,23193.1573,4024.6527,4035.5809,0,7035.9188,0,1677.1938,0,122938.8276,16643.1073
2005,Indonesia,971.2824,103.686362,9520.168,22503.7279,4022.6996,4037.751,0,7082.0689,0,1690.7725,0,122565.5723,17554.9869
2006,Indonesia,991.2843,98.9580309,9594.5516,21413.2174,4014.6624,4042.1377,0,7135.9844,0,1704.4133,0,122129.5091,18923.3084
2007,Indonesia,1008.5193,98.54641606,9702.9684,21302.7613,4006.199,4055.9567,0,7222.7002,0,1726.3315,0,121557.2317,19366.1466
2008,Indonesia,1024.8475,99.84849951,9783.1381,21581.2033,3991.8219,4070.4656,0,7289.5346,0,1743.8707,0,121164.221,19299.4901
2009,Indonesia,1042.5011,100.0231539,9783.6249,21603.1109,3983.746,4083.4475,0,7298.5366,0,1767.1298,0,121163.5467,19223.1072
2010,Indonesia,1059.6896,100.7754321,9865.8515,21756.2956,3983.2344,4084.7806,0,7364.5294,0,1785.6456,0,120689.7633,19359.4156
2011,Indonesia,1078.6627,99.05716724,9930.1588,21348.2391,3976.7861,4088.2916,0,7415.0995,0,1815.1902,0,120310.6759,19985.5855
2012,Indonesia,1103.3497,99.65039694,9992.9748,21457.8697,3971.8335,4089.9501,0,7462.7217,0,1832.8147,0,119949.0261,20088.2185
2013,Indonesia,1154.026,98.96801377,10015.549,21252.6971,3970.3377,4088.9038,0,7476.1649,0,1847.5095,0,119795.225,20348.327
2014,Indonesia,1217.1765,99.35670369,10050.448,21277.5631,3916.759,4117.3944,0,7505.3609,0,1879.6738,0,119612.3617,20372.1349
2015,Indonesia,1248.5948,100,10052.2521,21391.7784,3916.0537,4116.8984,0,7504.8497,0,1877.7052,0,119617.3264,20223.32
2016,Indonesia,1256.7211,100.5195864,10121.4426,21501.2989,3920.1614,4102.8546,0,7557.7519,0,2050.1214,0,118961.0869,20477.4276
2017,Indonesia,1261.9643,100.8986938,10146.9216,21581.888,3922.1533,4098.9406,0,7578.7038,0,2077.6586,0,118765.5413,20515.1026
2018,Indonesia,1268.7886,101.366157,10192.1396,21680.9018,3922.719,4094.6934,0,7616.3642,0,2107.6838,0,118456.3832,20609.2222
2019,Indonesia,1275.7407,101.789053,10244.0527,21769.6941,3919.9599,4089.6324,0,7662.0803,0,2132.1752,0,118161.9277,20693.6256
2020,Indonesia,1312.1522,102.2155999,10290.9598,21829.9735,3919.5414,4077.2007,0,7698.6622,0,2140.4759,0,117929.9745,20750.9254
1992,"Iran, Islamic Rep. of",180.308,93.60927535,6949.0998,22329.0813,6612.2589,0.7208,0,6851.8883,68.9944,16506.3546,103743.9375,3226.2031,1734.3231
1993,"Iran, Islamic Rep. of",184.9467,93.75576333,6949.5922,22359.773,6612.2279,0.7208,0,6851.8159,68.9944,16505.9693,103739.9375,3227.0673,1702.9137
1994,"Iran, Islamic Rep. of",190.2479,93.77694693,6950.0907,22359.4916,6612.2202,0.7208,0,6851.7318,68.9944,16505.5461,103733.9375,3228.0241,1702.4012
1995,"Iran, Islamic Rep. of",194.9156,94.41478368,6938.5846,22508.1841,6572.3984,0.7208,0,6833.1432,69.8237,16360.9899,103878.9055,3136.934,1708.6958
